epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.768,2.01336,1.95711,1.31064,0.86713,0.83325,0.88343,0.37888,1.93034,1.10497,1.25027,0.000332707,0.000332707,0.067062
2,754.62,1.79648,1.12842,1.19802,0.91138,0.86315,0.92193,0.4502,1.71865,0.96595,1.18153,0.000633071,0.000633071,0.0340291
3,1120.78,1.73561,1.00785,1.17251,0.9436,0.9157,0.93809,0.46452,1.73234,0.86067,1.18556,0.000900435,0.000900435,0.000963092
4,1482.2,1.69958,0.93454,1.15752,0.92402,0.94272,0.95374,0.48748,1.6599,0.82097,1.14138,0.0008515,0.0008515,0.0008515
5,1845.72,1.67047,0.8876,1.1399,0.94563,0.94124,0.95407,0.4885,1.6617,0.76216,1.15481,0.000802,0.000802,0.000802
6,2204.94,1.64833,0.83935,1.13191,0.95957,0.9474,0.9697,0.48754,1.68319,0.75409,1.15117,0.0007525,0.0007525,0.0007525
7,2564.11,1.61627,0.80487,1.12475,0.94871,0.9484,0.95248,0.48746,1.71598,0.70586,1.16922,0.000703,0.000703,0.000703
8,2924.74,1.59973,0.77183,1.10618,0.94779,0.95286,0.96268,0.50992,1.65634,0.70713,1.14636,0.0006535,0.0006535,0.0006535
9,3283.57,1.57852,0.74402,1.1094,0.9646,0.96579,0.97006,0.5311,1.6192,0.66451,1.12888,0.000604,0.000604,0.000604
10,3642.92,1.56154,0.7269,1.09597,0.94392,0.95904,0.96161,0.50928,1.6569,0.66639,1.13717,0.0005545,0.0005545,0.0005545
11,3992.24,1.53106,0.67538,1.13334,0.97087,0.96701,0.9759,0.5401,1.5491,0.64519,1.10094,0.000505,0.000505,0.000505
12,4341.97,1.50584,0.64551,1.11997,0.97019,0.97488,0.97419,0.5466,1.57903,0.62571,1.11283,0.0004555,0.0004555,0.0004555
13,4691.31,1.48793,0.63305,1.11185,0.97129,0.9742,0.97687,0.55085,1.5214,0.60813,1.09334,0.000406,0.000406,0.000406
14,5040.15,1.45999,0.61494,1.10157,0.96225,0.97494,0.98083,0.5687,1.52337,0.61292,1.08284,0.0003565,0.0003565,0.0003565
15,5388.16,1.43823,0.59826,1.08679,0.96845,0.97929,0.97935,0.56689,1.52226,0.58964,1.08514,0.000307,0.000307,0.000307
16,5740.5,1.42131,0.58339,1.08255,0.97319,0.97734,0.98166,0.5724,1.50301,0.59325,1.07824,0.0002575,0.0002575,0.0002575
17,6091.35,1.40436,0.57274,1.07527,0.96842,0.97513,0.98235,0.58007,1.48282,0.57363,1.07431,0.000208,0.000208,0.000208
18,6440.36,1.37542,0.55316,1.06754,0.97439,0.98144,0.98314,0.59324,1.44778,0.5565,1.06089,0.0001585,0.0001585,0.0001585
19,6788.76,1.34398,0.54195,1.0529,0.96556,0.98668,0.9842,0.59872,1.44145,0.54414,1.05882,0.000109,0.000109,0.000109
20,7139.19,1.3225,0.5299,1.04617,0.96859,0.98554,0.98021,0.59881,1.44578,0.5426,1.06165,5.95e-05,5.95e-05,5.95e-05
